"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"232",12,"Dawson Knox",BUF,"TE32","13","26","3 out of 5 stars","-"
"233",12,"Zack Moss",IND,"RB76","11","25","4 out of 5 stars","-"
"234",12,"Xavier Hutchinson",HOU,"WR91","7","23","3 out of 5 stars","-"
"235",12,"Cade Otton",TB,"TE33","5","24","3 out of 5 stars","-"
"236",12,"Ty Chandler",MIN,"RB77","13","25","4 out of 5 stars","-"
"237",12,"A.T. Perry",NO,"WR92","11","24","3 out of 5 stars","-"
"238",12,"Isaiah Spiller",LAC,"RB78","5","22","4 out of 5 stars","-"
"239",12,"Parris Campbell",NYG,"WR93","13","26","3 out of 5 stars","-"
"240",12,"Kenny McIntosh",SEA,"RB79","5","23","1 out of 5 stars","-"
"241",12,"Mecole Hardman Jr.",KC,"WR94","10","25","4 out of 5 stars","-"
"242",12,"DeVante Parker",NE,"WR95","11","30","4 out of 5 stars","-"
"243",12,"Joshua Kelley",LAC,"RB80","5","25","4 out of 5 stars","-"
"244",12,"Darnell Washington",PIT,"TE34","6","22","3 out of 5 stars","-"
"245",13,"Keaontay Ingram",ARI,"RB81","14","24","1 out of 5 stars","-"
"246",13,"Zach Wilson",NYJ,"QB36","7","24","3 out of 5 stars","-"
"247",13,"Deon Jackson",CLE,"RB82","5","24","3 out of 5 stars","-"
"248",13,"Russell Gage",TB,"WR96","5","27","4 out of 5 stars","-"
"249",13,"Kayshon Boutte",NE,"WR97","11","21","4 out of 5 stars","-"
"250",13,"Jalen Tolbert",DAL,"WR98","7","24","3 out of 5 stars","-"
"251",13,"Kevin Harris",NE,"RB83","11","22","4 out of 5 stars","-"
"252",13,"Hayden Hurst",CAR,"TE35","7","30","3 out of 5 stars","-"
"253",13,"Tucker Kraft",GB,"TE36","6","22","3 out of 5 stars","-"
"254",13,"Parker Washington",JAC,"WR99","9","21","4 out of 5 stars","-"
"255",13,"Zach Ertz",ARI,"TE37","14","32","5 out of 5 stars","-"
"256",13,"D'Ernest Johnson",JAC,"RB84","9","27","4 out of 5 stars","-"
"257",13,"Marquez Valdes-Scantling",KC,"WR100","10","29","4 out of 5 stars","-"
"258",13,"Allen Robinson II",PIT,"WR101","6","30","2 out of 5 stars","-"
"259",13,"Justyn Ross",KC,"WR102","10","23","4 out of 5 stars","-"
"260",13,"Robert Woods",HOU,"WR103","7","31","3 out of 5 stars","-"
"261",13,"Laviska Shenault Jr.",CAR,"WR104","7","25","3 out of 5 stars","-"
"262",13,"Tim Patrick",DEN,"WR105","9","29","3 out of 5 stars","-"
"263",13,"Jordan Mason",SF,"RB85","9","24","2 out of 5 stars","-"
"264",13,"Kylen Granson",IND,"TE38","11","25","4 out of 5 stars","-"
"265",13,"Trey Palmer",TB,"WR106","5","22","4 out of 5 stars","-"
"266",13,"Kyle Philips",TEN,"WR107","7","24","3 out of 5 stars","-"
"267",13,"Chase Edmonds",TB,"RB86","5","27","3 out of 5 stars","-"
"268",13,"Tyrion Davis-Price",SF,"RB87","9","23","2 out of 5 stars","-"
"269",13,"Daniel Bellinger",NYG,"TE39","13","23","4 out of 5 stars","-"
"270",13,"Kendrick Bourne",NE,"WR108","11","28","4 out of 5 stars","-"
"271",13,"Van Jefferson",ATL,"WR109","11","27","4 out of 5 stars","-"
"272",13,"Nyheim Hines",BUF,"RB88","13","26","3 out of 5 stars","-"
"273",13,"Logan Thomas",WAS,"TE40","14","32","5 out of 5 stars","-"
"274",13,"Tyler Conklin",NYJ,"TE41","7","28","3 out of 5 stars","-"
"275",13,"Josh Reynolds",DET,"WR110","9","28","3 out of 5 stars","-"
"276",13,"James Robinson",GB,"RB89","6","25","2 out of 5 stars","-"
"277",13,"Brevin Jordan",HOU,"TE42","7","23","3 out of 5 stars","-"
"278",13,"Kene Nwangwu",MIN,"RB90","13","25","4 out of 5 stars","-"
"279",13,"JaMycal Hasty",JAC,"RB91","9","27","4 out of 5 stars","-"
"280",13,"Latavius Murray",BUF,"RB92","13","33","3 out of 5 stars","-"
"281",13,"Keaton Mitchell",BAL,"RB93","13","21","3 out of 5 stars","-"
"282",13,"Deonte Harty",BUF,"WR111","13","25","2 out of 5 stars","-"
"283",13,"KJ Hamler",IND,"WR112","11","24","3 out of 5 stars","-"
"284",13,"Calvin Austin III",PIT,"WR113","6","24","2 out of 5 stars","-"
"285",13,"Hassan Haskins",TEN,"RB94","7","23","5 out of 5 stars","-"
"286",13,"David Bell",CLE,"WR114","5","22","3 out of 5 stars","-"
"287",13,"Jonnu Smith",ATL,"TE43","11","28","3 out of 5 stars","-"
"288",14,"Devin Duvernay",BAL,"WR115","13","26","2 out of 5 stars","-"
"289",14,"Boston Scott",PHI,"RB95","10","28","2 out of 5 stars","-"
"290",14,"Isaiah McKenzie",IND,"WR116","11","28","3 out of 5 stars","-"
"291",14,"Chris Evans",CIN,"RB96","7","26","3 out of 5 stars","-"
"292",14,"Darrell Henderson Jr.",LAR,"RB97","10","26","3 out of 5 stars","-"
"293",14,"Mohamed Ibrahim",DET,"RB98","9","25","4 out of 5 stars","-"
"294",14,"Chris Rodriguez Jr.",WAS,"RB99","14","23","2 out of 5 stars","-"
"295",14,"Trey Sermon",IND,"RB100","11","24","4 out of 5 stars","-"
"296",14,"Justice Hill",BAL,"RB101","13","25","3 out of 5 stars","-"
"297",14,"Sam Darnold",SF,"QB37","9","26","4 out of 5 stars","-"
"298",14,"Eno Benjamin",NO,"RB102","11","24","4 out of 5 stars","-"
"299",14,"Dontayvion Wicks",GB,"WR117","6","22","3 out of 5 stars","-"
"300",14,"Andrei Iosivas",CIN,"WR118","7","24","3 out of 5 stars","-"
"301",14,"Danny Gray",SF,"WR119","9","24","2 out of 5 stars","-"
"302",14,"Aidan O'Connell",LV,"QB38","13","25","5 out of 5 stars","-"
"303",14,"Ronnie Bell",SF,"WR120","9","23","2 out of 5 stars","-"
"304",14,"Richie James Jr.",KC,"WR121","10","28","4 out of 5 stars","-"
"305",14,"Tre Tucker",LV,"WR122","13","22","4 out of 5 stars","-"
"306",14,"Myles Gaskin",LAR,"RB103","10","26","3 out of 5 stars","-"
"307",14,"Austin Hooper",LV,"TE44","13","28","2 out of 5 stars","-"
"308",14,"Harrison Bryant",CLE,"TE45","5","25","3 out of 5 stars","-"
"309",14,"Peyton Hendershot",DAL,"TE46","7","24","4 out of 5 stars","-"
"310",14,"Jacoby Brissett",WAS,"QB39","14","30","5 out of 5 stars","-"
"311",14,"Brenton Strange",JAC,"TE47","9","22","2 out of 5 stars","-"
"312",14,"Trayveon Williams",CIN,"RB104","7","26","3 out of 5 stars","-"
"313",14,"Will Mallory",IND,"TE48","11","24","4 out of 5 stars","-"
"314",14,"Ashton Dulin",IND,"WR123","11","26","3 out of 5 stars","-"
"315",14,"Charlie Jones",CIN,"WR124","7","24","3 out of 5 stars","-"
"316",14,"Ronald Jones II",FA,"RB105","-","26","-","-"
"317",14,"Rico Dowdle",DAL,"RB106","7","25","2 out of 5 stars","-"
"318",14,"Tommy Tremble",CAR,"TE49","7","23","3 out of 5 stars","-"
"319",14,"Matt Breida",NYG,"RB107","13","28","3 out of 5 stars","-"
"320",14,"Taylor Heinicke",ATL,"QB40","11","30","3 out of 5 stars","-"
"321",14,"Dee Eskridge",SEA,"WR125","5","26","2 out of 5 stars","-"
"322",14,"Dyami Brown",WAS,"WR126","14","23","3 out of 5 stars","-"
"323",14,"Donald Parham Jr.",LAC,"TE50","5","26","3 out of 5 stars","-"
"324",14,"Foster Moreau",NO,"TE51","11","26","3 out of 5 stars","-"
"325",14,"Greg Dortch",ARI,"WR127","14","25","1 out of 5 stars","-"
"326",14,"Malik Davis",DAL,"RB108","7","24","2 out of 5 stars","-"
"327",14,"Adam Trautman",DEN,"TE52","9","26","2 out of 5 stars","-"
"328",14,"Raheem Blackshear",CAR,"RB109","7","24","3 out of 5 stars","-"
"329",14,"Albert Okwuegbunam",PHI,"TE53","10","25","3 out of 5 stars","-"
"330",14,"Salvon Ahmed",MIA,"RB110","10","24","3 out of 5 stars","-"
"331",14,"Demario Douglas",NE,"WR128","11","22","4 out of 5 stars","-"
"332",14,"Kenyan Drake",FA,"RB111","-","29","-","-"
"333",14,"Sterling Shepard",NYG,"WR129","13","30","3 out of 5 stars","-"
"334",14,"O.J. Howard",FA,"TE54","-","28","-","-"
"335",14,"Kyle Trask",TB,"QB41","5","25","2 out of 5 stars","-"
"336",14,"Trent Sherfield",BUF,"WR130","13","27","2 out of 5 stars","-"
"337",14,"Melvin Gordon III",BAL,"RB112","13","30","3 out of 5 stars","-"
"338",15,"Nelson Agholor",BAL,"WR131","13","30","2 out of 5 stars","-"
"339",15,"Travis Homer",CHI,"RB113","13","25","2 out of 5 stars","-"
"340",15,"Marvin Jones Jr.",DET,"WR132","9","33","3 out of 5 stars","-"
"341",15,"Robert Tonyan",CHI,"TE55","13","29","2 out of 5 stars","-"
"342",15,"Will Dissly",SEA,"TE56","5","27","4 out of 5 stars","-"
"343",15,"Charlie Kolar",BAL,"TE57","13","24","3 out of 5 stars","-"
"344",15,"Erik Ezukanma",MIA,"WR133","10","23","3 out of 5 stars","-"
"345",15,"Noah Brown",HOU,"WR134","7","27","3 out of 5 stars","-"
"346",15,"Justin Watson",KC,"WR135","10","27","4 out of 5 stars","-"
"347",15,"Mike Strachan",CAR,"WR136","7","26","3 out of 5 stars","-"
"348",15,"Cole Turner",WAS,"TE58","14","23","5 out of 5 stars","-"
"349",15,"Zack Kuntz",NYJ,"TE59","7","24","3 out of 5 stars","-"
"350",15,"Ke'Shawn Vaughn",TB,"RB114","5","26","3 out of 5 stars","-"
"351",15,"Nick Westbrook-Ikhine",TEN,"WR137","7","26","3 out of 5 stars","-"
"352",15,"Samori Toure",GB,"WR138","6","25","3 out of 5 stars","-"
"353",15,"Joshua Dobbs",ARI,"QB42","14","28","2 out of 5 stars","-"
"354",15,"J.J. Taylor",FA,"RB115","-","25","-","-"
"355",15,"Jordan Akins",CLE,"TE60","5","31","3 out of 5 stars","-"
"356",15,"Velus Jones Jr.",CHI,"WR139","13","26","3 out of 5 stars","-"
"357",15,"Kalif Raymond",DET,"WR140","9","29","3 out of 5 stars","-"
"358",15,"Durham Smythe",MIA,"TE61","10","28","3 out of 5 stars","-"
"359",15,"Sincere McCormick",LV,"RB116","13","23","3 out of 5 stars","-"
"360",15,"Tony Jones Jr.",NO,"RB117","11","25","4 out of 5 stars","-"
"361",15,"Davis Allen",LAR,"TE62","10","22","3 out of 5 stars","-"
"362",15,"Julius Chestnut",TEN,"RB118","7","23","5 out of 5 stars","-"
"363",15,"Jarrett Stidham",DEN,"QB43","9","27","4 out of 5 stars","-"
"364",15,"Mack Hollins",ATL,"WR141","11","30","4 out of 5 stars","-"
"365",15,"Jeremy Ruckert",NYJ,"TE63","7","23","3 out of 5 stars","-"
"366",15,"Noah Gray",KC,"TE64","10","24","4 out of 5 stars","-"
"367",15,"Mitch Trubisky",PIT,"QB44","6","29","3 out of 5 stars","-"
"368",15,"C.J. Uzomah",NYJ,"TE65","7","30","3 out of 5 stars","-"
"369",15,"Derius Davis",LAC,"WR142","5","23","4 out of 5 stars","-"
"370",15,"Jameis Winston",NO,"QB45","11","29","3 out of 5 stars","-"
"371",15,"Dorian Thompson-Robinson",CLE,"QB46","5","23","3 out of 5 stars","-"
"372",15,"Cameron Latu",SF,"TE66","9","23","3 out of 5 stars","-"
"373",15,"DeeJay Dallas",SEA,"RB119","5","25","1 out of 5 stars","-"
"374",15,"Clayton Tune",ARI,"QB47","14","24","2 out of 5 stars","-"
"375",15,"Jake Haener",NO,"QB48","11","24","3 out of 5 stars","-"
"376",15,"Carson Wentz",FA,"QB49","-","30","-","-"
"377",15,"Gardner Minshew II",IND,"QB50","11","27","2 out of 5 stars","-"
"378",15,"Olamide Zaccheaus",PHI,"WR143","10","26","3 out of 5 stars","-"
"379",15,"Rakim Jarrett",TB,"WR144","5","22","4 out of 5 stars","-"
"380",15,"Josh Oliver",MIN,"TE67","13","26","3 out of 5 stars","-"
"381",15,"Jaleel McLaughlin",DEN,"RB120","9","23","3 out of 5 stars","-"
"382",15,"Bailey Zappe",NE,"QB51","11","24","3 out of 5 stars","-"
"383",15,"Hunter Long",LAR,"TE68","10","25","3 out of 5 stars","-"
"384",15,"Ronnie Rivers",LAR,"RB121","10","24","3 out of 5 stars","-"
"385",15,"Justin Shorter",BUF,"WR145","13","23","2 out of 5 stars","-"
"386",15,"Elijah Higgins",ARI,"TE69","14","22","5 out of 5 stars","-"
"387",15,"Deneric Prince",KC,"RB122","10","23","4 out of 5 stars","-"
"388",15,"Braxton Berrios",MIA,"WR146","10","28","3 out of 5 stars","-"
"389",15,"Snoop Conner",JAC,"RB123","9","23","4 out of 5 stars","-"
"390",15,"Bryce Ford-Wheaton",NYG,"WR147","13","23","3 out of 5 stars","-"
